City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Mercedes,AR,2022-02-14 15:35:10,-34.6515,-59.4307,84.63,19,0,7.76
280,Taranagar,IN,2022-02-14 15:35:10,28.6709,75.0351,68.45,26,1,8.37
281,Rawson,AR,2022-02-14 15:31:41,-43.3002,-65.1023,65.1,53,36,10.94
282,Bilma,NE,2022-02-14 15:35:11,18.6853,12.9164,83.84,7,12,4.36
283,Sept-Iles,CA,2022-02-14 15:35:12,50.2001,-66.3821,4.05,55,75,10.36
284,Lavrentiya,RU,2022-02-14 15:32:47,65.5833,-171.0,-20.69,93,18,6.2
285,Tamandare,BR,2022-02-14 15:35:12,-8.7597,-35.1047,86.79,58,36,10.16
286,Salalah,OM,2022-02-14 15:32:52,17.0151,54.0924,80.69,12,0,9.22
287,Tutayev,RU,2022-02-14 15:35:13,57.8853,39.5406,31.48,93,100,7.63
288,Georgetown,MY,2022-02-14 15:31:24,5.4112,100.3354,82.33,91,40,9.22
289,Teahupoo,PF,2022-02-14 15:32:01,-17.8333,-149.2667,71.56,76,41,17.02
290,Korla,CN,2022-02-14 15:35:13,41.7597,86.1469,32.23,46,97,3.71
291,Aktas,KZ,2022-02-14 15:35:14,49.7789,72.9608,17.35,91,100,20.42
292,Kedrovyy,RU,2022-02-14 15:35:14,56.1667,91.8167,-3.14,96,100,4.97
293,Richards Bay,ZA,2022-02-14 15:31:42,-28.783,32.0377,76.19,77,97,13.04
